key,year,number
granted,1964,3
denied,1964,0
granted,1965,6
denied,1965,0
granted,1966,12
denied,1966,0
granted,1967,10
denied,1967,0
granted,1968,20
denied,1968,0
granted,1969,18
denied,1969,0
granted,1970,19
denied,1970,0
granted,1971,13
denied,1971,0
granted,1972,11
denied,1972,0
granted,1973,20
denied,1973,0
granted,1974,48
denied,1974,1
granted,1975,37
denied,1975,0
granted,1976,63
denied,1976,0
granted,1977,70
denied,1977,0
granted,1978,53
denied,1978,0
granted,1979,63
denied,1979,0
granted,1980,64
denied,1980,2
granted,1981,70
denied,1981,12
granted,1982,70
denied,1982,12
granted,1983,75
denied,1983,21
granted,1984,81
denied,1984,117
granted,1985,75
denied,1985,97
granted,1986,91
denied,1986,117
granted,1987,93
denied,1987,74
granted,1988,85
denied,1988,95
granted,1989,87
denied,1989,70
granted,1990,89
denied,1990,86
granted,1991,86
denied,1991,101
granted,1992,96
denied,1992,79
granted,1993,93
denied,1993,65
granted,1994,87
denied,1994,128
granted,1995,111
denied,1995,175
granted,1996,97
denied,1996,174
granted,1997,120
denied,1997,167
granted,1998,136
denied,1998,152
granted,1999,120
denied,1999,152
granted,2000,145
denied,2000,157
granted,2001,126
denied,2001,170
granted,2002,117
denied,2002,175
granted,2003,99
denied,2003,170
granted,2004,97
denied,2004,150
granted,2005,92
denied,2005,172
granted,2006,105
denied,2006,179
granted,2007,85
denied,2007,145
granted,2008,89
denied,2008,162
granted,2009,81
denied,2009,106
granted,2010,97
denied,2010,107
granted,2011,83
denied,2011,91
granted,2012,82
denied,2012,97
granted,2013,44
denied,2013,41
