year,applications,approved
1964,3,3
1965,6,6
1966,12,12
1967,10,10
1968,20,20
1969,18,18
1970,19,19
1971,13,13
1972,11,11
1973,20,20
1974,49,48
1975,37,37
1976,63,63
1977,70,70
1978,53,53
1979,63,63
1980,66,64
1981,82,70
1982,82,70
1983,96,75
1984,198,81
1985,172,75
1986,208,91
1987,167,93
1988,180,85
1989,157,87
1990,175,89
1991,187,86
1992,175,96
1993,158,93
1994,215,87
1995,286,111
1996,271,97
1997,287,120
1998,288,136
1999,272,120
2000,302,145
2001,296,126
2002,292,117
2003,269,99
2004,247,97
2005,264,92
2006,284,105
2007,230,85
2008,251,89
2009,187,81
2010,204,97
2011,174,83
2012,179,82
2013,85,44
